SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseType,GHGEmissionsIntensity(kgCO2e/ft2),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),SPD Beats,Seattle Police Department Micro Community Policing Plan Areas,GHGEmissionsIntensity,TotalGHGEmissions,City,State,ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA,ListOfAllPropertyUseTypes,SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),Electricity(kBtu),SourceEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SiteEnergyUse(kBtu),NumberofFloors,NumberofBuildings,DefaultData,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),Neighborhood,CouncilDistrictCode,ComplianceStatus,PropertyGFAParking,YearBuilt,PropertyGFATotal,BuildingType,DataYear,zip_codes,Longitude,Latitude,parcelTax_number
28074.10015345275,50.0,2.64,0.0,249.43,31.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,65.0,13.0,88434.0,164.0,173.5,2023032.0,1080307.0,12724.0,1272388.0,3686160.0,175.1,78.9,80.3,7097539.0,6981428.0,12.0,1.0,0.0,1.0,5.0,88434.0,6.0,7.0,0.0,0.0,1927.0,88434.0,4.0,2015.0,18081.0,-122.33799744,47.61219025,659000030.0
15064.0,34.0,2.38,0.0,263.51,31.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,51.0,13.0,83880.0,172.0,191.3,0.0,1144563.0,44490.0,4448985.0,3905411.0,195.2,94.4,99.0,8765788.0,8354235.0,11.0,1.0,0.0,2.0,5.0,88502.0,6.0,7.0,0.0,15064.0,1996.0,103566.0,4.0,2015.0,18081.0,-122.33335756,47.61310583,659000220.0
100000.0,34.0,1.92,0.0,2061.48,31.0,56.0,1.175916245916246,120.07988409011996,1.0,1.0,18.0,13.0,757243.0,177.0,242.7,19660404.0,14583930.0,37099.0,3709900.0,49762435.0,246.5,96.6,99.7,75506272.0,73130656.0,41.0,1.0,1.0,3.0,5.0,961990.0,6.0,7.0,0.0,0.0,1969.0,961990.0,4.0,2015.0,18081.0,-122.33769944,47.61334897,659000475.0
28074.10015345275,50.0,31.38,0.0,1936.34,31.0,56.0,1.175916245916246,120.07988409011996,1.0,1.0,1.0,13.0,61320.0,164.0,636.3,23458518.0,811521.0,20019.0,2001894.0,2769023.0,643.2,460.4,462.5,28363444.0,28229320.0,10.0,1.0,0.0,5.0,5.0,61320.0,6.0,7.0,0.0,0.0,1926.0,61320.0,4.0,2015.0,18081.0,-122.33660889,47.61421585,659000640.0
68009.0,34.0,4.02,0.0,507.7,31.0,56.0,1.175916245916246,120.07988409011996,1.0,1.0,67.0,13.0,123445.0,177.0,228.8,0.0,1777841.0,87631.0,8763105.0,6066245.0,227.1,120.1,122.1,15078243.0,14829099.0,18.0,1.0,0.0,8.0,5.0,107430.0,6.0,7.0,0.0,12460.0,1980.0,119890.0,4.0,2015.0,19576.0,-122.3409238,47.6137544,659000970.0
28074.10015345275,50.0,2.81,0.0,304.62,7.0,56.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,40.0,88830.0,466.0,313.5,0.0,2130921.0,47813.0,4781283.0,7271004.0,321.6,135.7,146.9,13045258.0,12051984.0,2.0,1.0,0.0,9.0,15.0,60090.0,6.0,7.0,0.0,37198.0,1999.0,97288.0,5.0,2015.0,19576.0,-122.33676431,47.6164389,660000560.0
28074.10015345275,50.0,2.37,0.0,208.46,31.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,25.0,13.0,81352.0,164.0,149.5,0.0,785342.0,35733.0,3573255.0,2679698.0,158.2,76.9,79.6,6477493.0,6252842.0,11.0,1.0,0.0,10.0,5.0,83008.0,6.0,7.0,0.0,0.0,1926.0,83008.0,4.0,2015.0,18081.0,-122.33274086,47.6141141,660000825.0
28074.10015345275,50.0,1.77,0.0,199.99,31.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,67.9063420380915,27.0,102761.0,421.0,152.2,2003108.0,1203937.0,3151.0,315079.0,4108004.0,160.4,62.5,71.8,7380086.0,6426022.0,8.0,1.0,0.0,11.0,15.0,102761.0,6.0,7.0,0.0,0.0,1926.0,102761.0,4.0,2015.0,18081.0,-122.33130949,47.61290234,660000955.0
28074.10015345275,50.0,1.83,0.0,331.61,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,46.0,13.0,163984.0,164.0,174.6,0.0,2155728.0,52784.0,5278400.0,7355649.0,186.8,77.0,82.9,13589025.0,12633744.0,15.0,1.0,0.0,12.0,5.0,163984.0,6.0,7.0,0.0,0.0,1904.0,163984.0,4.0,2015.0,18379.0,-122.33255325,47.60258934,939000080.0
28074.10015345275,50.0,2.51,0.0,170.0,19.0,14.0,1.175916245916246,120.07988409011996,1.0,1.0,2.0,21.0,56132.0,238.0,178.1,1483476.0,694593.0,7338.0,733803.0,2370050.0,190.8,81.7,92.7,5203458.0,4587231.0,6.0,1.0,0.0,13.0,11.0,62216.0,6.0,7.0,0.0,1496.0,1910.0,63712.0,3.0,2015.0,18379.0,-122.33214887,47.60278416,939000105.0
